mk,sq,es,en
Шенол Шаботиќ,Šenol Šabotić,Šenol Šabotić,Šenol Šabotić
Шенур Незири,Shenur Neziri,Shenur Neziri,Shenur Neziri
Шериф Реџепи,Sherif Rexhepi,Sherif Rexhepi,Sherif Rexhepi
Шефит Шефити,Shefit Shefiti,Shefit Shefiti,Shefit Shefiti
Шефкет Јашари,Shefket Jashari,Shefket Jashari,Shefket Jashari
Шефки Бериша,Shefki Berisha,Shefki Berisha,Shefki Berisha
Шкелќим Адеми,Shkelqim Ademi,Shkelqim Ademi,Shkelqim Ademi
Шкелќим Ајдари,Shkelqim Ajdari,Shkelqim Ajdari,Shkelqim Ajdari
Шкелќим Мемети,Shkelqim Memeti,Shkelqim Memeti,Shkelqim Memeti
Шкелќим Хајрулаи,Shkelqim Hajrulai,Shkelqim Hajrulai,Shkelqim Hajrulai
Шкељзен Џафери,Shkelzen Xhaferi,Shkelzen Xhaferi,Shkelzen Xhaferi
Шкељќим Ферати,Shkelqim Ferati,Shkelqim Ferati,Shkelqim Ferati
Шкодран Рамадани,Shkodran Ramadani,Shkodran Ramadani,Shkodran Ramadani
Шкумбим Рамадани,Shkumbim Ramadani,Shkumbim Ramadani,Shkumbim Ramadani
Шкумбин Алиу,Shkumbin Aliu,Shkumbin Aliu,Shkumbin Aliu
Шкумбин Мифтари,Shkumbin Miftari,Shkumbin Miftari,Shkumbin Miftari
Шкумбин Реџепи,Shkumbin Rexhepi,Shkumbin Rexhepi,Shkumbin Rexhepi
Шкљзен Османи,Shklzen Osmani,Shklzen Osmani,Shklzen Osmani
Шпат Абдии,Shpat Abdii,Shpat Abdii,Shpat Abdii
Шпат Исеини,Shpat Iseini,Shpat Iseini,Shpat Iseini
Шпат Садики,Shpat Sadiki,Shpat Sadiki,Shpat Sadiki
Шпенд Асани,Shpend Asani,Shpend Asani,Shpend Asani
Шпенд Ахмеди,Shpend Ahmedi,Shpend Ahmedi,Shpend Ahmedi
Шпенд Фејзулаи,Shpend Fejzulai,Shpend Fejzulai,Shpend Fejzulai
Шпетим Емини,Shpetim Emini,Shpetim Emini,Shpetim Emini
Шпетим Исени,Shpetim Iseni,Shpetim Iseni,Shpetim Iseni
Шпетим Каба,Shpetim Kaba,Shpetim Kaba,Shpetim Kaba
Шпетим Черими,Shpetim Qerimi,Shpetim Qerimi,Shpetim Qerimi
Шптим Весели,Shptim Veseli,Shptim Veseli,Shptim Veseli
Штефан Решњак,Štefan Rešnjak,Štefan Rešnjak,Štefan Rešnjak
Шуајб Јашари,Shuajb Jashari,Shuajb Jashari,Shuajb Jashari
Шуајб Алими,Shuajb Alimi,Shuajb Alimi,Shuajb Alimi
Шуајб Алити,Shuajb Aliti,Shuajb Aliti,Shuajb Aliti
Шуајб Бајрами,Shuajb Bajrami,Shuajb Bajrami,Shuajb Bajrami
Шуајб Ебиби,Shuajb Ebibi,Shuajb Ebibi,Shuajb Ebibi
Шуајб Мустафи,Shuajb Mustafi,Shuajb Mustafi,Shuajb Mustafi
Шуајб Рамани,Shuajb Ramani,Shuajb Ramani,Shuajb Ramani
Шуајб Халили,Shuajb Halili,Shuajb Halili,Shuajb Halili
Шуајб Шукрија,Shuajb Shukrija,Shuajb Shukrija,Shuajb Shukrija
Шуип Хисмани,Shuip Hismani,Shuip Hismani,Shuip Hismani
Шукри Љиварека,Shukri Livareka,Shukri Livareka,Shukri Livareka
Шукри Рамадан,Shukri Ramadan,Shukri Ramadan,Shukri Ramadan
Шукри Шехи,Shukri Shehi,Shukri Shehi,Shukri Shehi
Шќиприм Руфати,Shqiprim Rufati,Shqiprim Rufati,Shqiprim Rufati
